영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
137971,로스트 인 더스트,161103,미국,액션,0.849,0.81,0.893,0.854,0.898,81236
142689,최악의 하루,160825,한국,멜로/로맨스,0.859,0.69,0.821,0.691,0.802,80754
129331,오 마이 그랜파,160317,미국,드라마,0.835,0.465,0.783,0.743,0.72,79701
128273,엽기적인 그녀 2,160512,한국,멜로/로맨스,0.563,0.35,0.295,0.258,0.302,77124
140803,하이큐!! 끝과 시작,161116,일본,모험,0.924,0.89,0,0.658,0.916,75704
128392,라스트 위치 헌터,151230,미국,액션,0.737,0.4,0.705,0.624,0.754,72481
137887,언더월드: 블러드 워,161130,미국,액션,0,0.475,0.642,0.585,0.734,72071
130117,선생님의 일기,161102,태국,멜로/로맨스,0.913,0.62,0.931,0.887,0.927,71297
150632,세상에서 고양이가 사라진다면,161109,일본,드라마,0.884,0.59,0.899,0.834,0.914,70424
149505,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,160928,영국,모험,0.864,0.854,0,0.859,0.915,69881
134859,어카운턴트,161013,미국,드라마,0.827,0.4,0.875,0.838,0.877,69529
179683,번개맨,160211,한국,드라마,0.886,0.902,0,0.894,0.993,69363
127361,이퀄스,160831,미국,드라마,0.825,0.679,0.871,0.829,0.863,68902
130757,스티브 잡스,160121,미국,드라마,0.792,0.64,0.786,0.719,0.833,68815
145318,아이엠스타 뮤직어워드,160914,일본,모험,0.779,0.467,0.811,0.691,0.863,67027
140730,올레,160825,한국,드라마,0.851,0.442,0.78,0.751,0.694,66883
149516,리틀메딕: 몸속탐험대,161124,독일,모험,0.802,0.8,0,0.762,0.889,66562
133424,데몰리션,160713,미국,드라마,0.855,0.678,0.894,0.854,0.9,66473
73462,레터스 투 갓,160225,미국,드라마,0.921,0.3,0.897,0.785,0.954,66250
146944,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,161103,일본,액션,0.863,0.894,0,0.887,0.965,64622
130983,트럼보,160407,미국,드라마,0.886,0.76,0.927,0.872,0.938,61964
147355,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,160225,영국,모험,0.791,0.77,0,0.5,0.74,60977
154366,두 남자,161130,한국,액션,0.8,0.544,0.621,0.481,0.764,60365
141675,극장판 도라에몽: 신 진구의 버스 오브 재팬,161221,일본,모험,0.908,0.903,0,0.854,0.954,59147
149576,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,160602,영국,모험,0.849,0.833,0,0.638,0.878,58619
10048,죽은 시인의 사회,900519,미국,드라마,0.971,0.75,0.983,0.919,0.976,57789
181701,더 보이,160601,미국,공포,0.659,0.491,0,0.5,0.418,56959
148656,극장판 프랭키와 친구들: 생명의 나무,160413,한국,모험,0.871,0.86,0,0.777,0.92,56842
170051,그물,161006,한국,드라마,0,0,0,0,0,56541
114237,드레스메이커,160211,호주,드라마,0.811,0.64,0.852,0.774,0.869,56316
169978,비포 선라이즈,960330,미국,드라마,0,0,0,0,0,56082
149511,빅뱅 메이드,160630,한국,드라마,0,0.571,0.941,0.538,0.993,55582
154133,백설공주 : 사라진 아빠를 찾아서,160929,중국,모험,0.765,0.737,0,0.64,0.755,55355
10293,불의 전차,160616,영국,드라마,0.87,0.71,0.877,0.775,0.857,55051
111954,파라노말 액티비티: 더 고스트 디멘션,160421,미국,공포,0.657,0.3,0.58,0.522,0.525,54972
154347,순종,161117,한국,드라마,0.974,0.5,0.948,0.829,0.948,54456
140011,잡아야 산다,160107,한국,드라마,0.736,0.3,0.425,0.258,0.669,54450
143253,뽀로로 극장판 컴퓨터 왕국 대모험,151210,한국,모험,0.895,0.879,0,0.819,0.906,53939
150376,"나, 다니엘 블레이크",161208,영국,드라마,0.941,0.84,0.973,0.91,0.976,53852
103657,브루클린,160421,미국,드라마,0.851,0.806,0.852,0.736,0.847,51106
125436,포레스트: 죽음의 숲,160330,미국,공포,0.763,0.3,0.529,0.409,0.537,50631
